mobimet_ID, temp_cal_a0, temp_cal_a1, hum_cal_a0, hum_cal_a1, bgt_cal_a0, bgt_cal_a1,language,wind,HTU_RH_a0,HTU_RH_a1,HTU_Ta_a0,HTU_Ta_a1,calibration_date,
133,-0.306087022,1.026381926,0.993476765,0.933799336,,,,,0,1,0,1,2020,
134,-0.422140239,1.026047834,0.818413151,0.990426216,,,,,0,1,0,1,2020,
135,-0.407128853,1.026390123,0.787914141,0.957581068,,,,,0,1,0,1,2020,
136,-0.263666017,1.026736621,1.415710343,0.896932337,,,,,0,1,0,1,2020,
137,-0.296970972,1.025028737,0.814375093,0.957776538,,,,,0,1,0,1,2020,
138,-0.631848123,1.02504467,1.087653448,0.940979143,,,,,0,1,0,1,2020,
139,-0.462763584,1.024640382,0.808061688,0.959573716,,,,,0,1,0,1,2020,
140,-0.553065466,1.025605641,0.987813162,0.969708649,,,,,0,1,0,1,2020,
141,-0.242676735,1.024859055,0.908522408,0.944666166,,,,,0,1,0,1,2020,
142,-0.524834665,1.025817674,1.087929411,0.956137652,,,,,0,1,0,1,2020,
143,-0.285459573,1.025432384,1.062038257,0.937895882,,,,,0,1,0,1,2020,
144,-0.353000724,1.024598215,1.131146524,0.929771097,,,,,0,1,0,1,2020,
145,-0.49943161,1.023941019,0.93083812,0.950574814,,,,,0,1,0,1,2020,
146,-0.31140218,1.024172151,1.029341359,0.949800745,,,,,0,1,0,1,2020,
147,-0.442698878,1.025729068,1.205071479,0.93476897,,,,,0,1,0,1,2020,
148,-0.57461808,1.024318044,0.919780792,0.951581242,,,,,0,1,0,1,2020,
149,-0.270440439,1.024016171,1.232973435,0.917587853,,,,,0,1,0,1,2020,
150,-0.293350382,1.023553207,0.917246054,0.934000989,,,,,0,1,0,1,2020,
